qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
icews18_0,"(head=459, rel=1, ?, ts=6480)",471,4595,0,0.0,0.75,9182.145681999828,False,cok,0
icews18_1,"(head=5205, rel=90, ?, ts=6480)",464,5206,0,0.0,0.75,9186.592716996529,False,cok,0
icews18_2,"(head=463, rel=69, ?, ts=6480)",458,302,0,0.0,0.75,9006.451987999753,False,cok,0
icews18_3,"(head=3093, rel=63, ?, ts=6480)",57,5,0,0.0,0.75,9179.441064999992,False,cok,0
icews18_4,"(head=17519, rel=151, ?, ts=6480)",3881,2036,0,0.0,0.75,8115.816968998843,False,cok,0
icews18_5,"(head=4935, rel=0, ?, ts=6480)",7803,1541,0,0.0,0.75,9192.560350998974,False,cok,0
icews18_6,"(head=2820, rel=4, ?, ts=6480)",458,2012,0,0.0,0.75,9187.453213999106,False,cok,0
icews18_7,"(head=64, rel=1, ?, ts=6480)",458,80,0,0.0,0.75,9189.93216599847,False,cok,0
icews18_8,"(head=42, rel=20, ?, ts=6480)",4145,38,0,0.0,0.75,9183.168750001641,False,cok,0
icews18_9,"(head=42, rel=20, ?, ts=6480)",19,38,0,0.0,0.75,9173.872720002691,False,cok,0
icews18_10,"(head=42, rel=20, ?, ts=6480)",1449,38,0,0.0,0.75,9173.119947001396,False,cok,0
icews18_11,"(head=445, rel=34, ?, ts=6480)",477,444,0,0.0,0.75,9184.986631000356,False,cok,0
icews18_12,"(head=1323, rel=0, ?, ts=6480)",344,"To find the missing tail (`tail`) in the statement `(head=1323, rel=0, ?,",0,0.0,0.75,9185.307656000077,False,cok,0
icews18_13,"(head=100, rel=28, ?, ts=6480)",390,?,0,0.0,0.75,9179.91621100009,False,cok,0
icews18_14,"(head=455, rel=0, ?, ts=6480)",765,744,0,0.0,0.75,9178.810708999663,False,cok,0
icews18_15,"(head=44, rel=20, ?, ts=6480)",4145,"To find the final answer for the original question \((\text{head}=44, \text{rel}=",0,0.0,0.75,9183.603953999409,False,cok,0
icews18_16,"(head=44, rel=20, ?, ts=6480)",19,"To find the final answer for the original question \((\text{head}=44, \text{rel}=",0,0.0,0.75,9182.57794300007,False,cok,0
icews18_17,"(head=44, rel=20, ?, ts=6480)",1449,"To find the final answer for the original question \((\text{head}=44, \text{rel}=",0,0.0,0.75,9180.114148999564,False,cok,0
icews18_18,"(head=9731, rel=0, ?, ts=6480)",445,"(head=9731, rel=0, tail=6480, ts=648",0,0.0,0.75,9176.05775300035,False,cok,0
icews18_19,"(head=298, rel=6, ?, ts=6480)",397,"To find the final answer for the original question \((\text{head}=298, \text{rel",0,0.0,0.75,9175.495497001975,False,cok,0
icews18_20,"(head=19, rel=20, ?, ts=6480)",161,0,0,0.0,0.75,9180.459573002736,False,cok,0
icews18_21,"(head=19, rel=2, ?, ts=6480)",42,3854,0,0.0,0.75,9177.92941299922,False,cok,0
icews18_22,"(head=42, rel=20, ?, ts=6480)",41,38,0,0.0,0.75,9172.963984001399,False,cok,0
icews18_23,"(head=19, rel=34, ?, ts=6480)",122,"(1125) To solve the problem using the given reasoning chain, we need to understand the pattern or rule",0,0.0,0.75,7029.4814110020525,False,cok,0
icews18_24,"(head=19, rel=5, ?, ts=6480)",42,4010,0,0.0,0.75,9185.383076997823,False,cok,0
icews18_25,"(head=19, rel=43, ?, ts=6480)",20,"To find the final answer for the original question \((\text{head}=19, \text{rel}=",0,0.0,0.75,9177.7046970019,False,cok,0
icews18_26,"(head=2274, rel=1, ?, ts=6480)",44,2004,0,0.0,0.75,9180.440629999794,False,cok,0
