qid,gold_e2,pred_e2,em,x_rank,confidence
0,39561,39561,1,1,0.9452314376831055
1,67388,67388,1,1,0.9527284502983093
2,16079,92961,0,2,0.8386938571929932
3,83900,83900,1,1,0.9019912481307983
4,34091,34091,1,1,0.9453797340393066
5,62142,62142,1,1,0.43442124128341675
6,81383,81383,1,1,0.9346831440925598
7,6201,97911,0,190,0.9252800941467285
8,35160,35160,1,1,0.9122259616851807
9,45505,16967,0,10,0.9171651005744934
10,54190,54190,1,1,0.9267592430114746
11,83753,92961,0,2,0.8177845478057861
12,8678,8678,1,1,0.9274570941925049
13,61235,61235,1,1,0.9573690891265869
14,47315,19019,0,2,0.9404826164245605
15,87200,87200,1,1,0.9450943470001221
16,48085,48085,1,1,0.9266650080680847
17,6515,6473,0,2,0.4301806092262268
18,54858,54858,1,1,0.9416857361793518
19,94367,94367,1,1,0.43240809440612793
20,93966,93966,1,1,0.9549917578697205
21,26448,26448,1,1,0.4052591025829315
22,33425,33425,1,1,0.912176251411438
23,91677,91677,1,1,0.9075557589530945
24,62345,98906,0,219,0.9211360216140747
25,11657,11657,1,1,0.4146389961242676
26,84358,84358,1,1,0.9544996619224548
27,27251,27251,1,1,0.8470085263252258
28,44722,45019,0,192,0.4366512596607208
29,7768,7768,1,1,0.9183527231216431
30,21826,21826,1,1,0.9127217531204224
31,49966,64995,0,29,0.928573489189148
32,62395,62395,1,1,0.9453287720680237
33,38921,38921,1,1,0.9443979263305664
34,66398,26192,0,535,0.4524385929107666
35,93848,93848,1,1,0.4134266972541809
36,97966,97965,0,5,0.9201170802116394
37,71752,71752,1,1,0.920572817325592
38,30532,30532,1,1,0.9499949216842651
39,46901,46901,1,1,0.922691822052002
40,95094,25782,0,550,0.44258058071136475
41,22669,22669,1,1,0.9550354480743408
42,61184,33991,0,188,0.41678833961486816
43,24181,24181,1,1,0.9329808354377747
44,36086,36086,1,1,0.941569983959198
45,77963,84774,0,22,0.43166834115982056
46,13087,13087,1,1,0.9592530131340027
47,19124,19124,1,1,0.45638662576675415
48,35036,35036,1,1,0.9365594387054443
49,2907,57784,0,12,0.8121190071105957
50,12020,12020,1,1,0.923592746257782
51,19300,19300,1,1,0.9226422905921936
52,15265,15265,1,1,0.9311428070068359
53,69645,29911,0,6,0.8232642412185669
54,7154,9040,0,5,0.8651873469352722
55,47011,47011,1,1,0.9384788870811462
56,98631,98631,1,1,0.9501135349273682
57,31205,31205,1,1,0.41489285230636597
58,57912,57912,1,1,0.9249871969223022
