qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
icews18_0,"(head=459, rel=1, ?, ts=6480)",471,464,0,0.0,0.5417113223647021,1.70722199982265,False,quest_kg_llm,14
icews18_1,"(head=5205, rel=90, ?, ts=6480)",464,905,0,0.0,0.6638703343702191,13.043495000601979,False,quest_kg_llm,0
icews18_2,"(head=463, rel=69, ?, ts=6480)",458,1502,0,0.0,0.90618752531109,1.9822260001092218,False,quest_kg_llm,14
icews18_3,"(head=3093, rel=63, ?, ts=6480)",57,2952,0,0.0,0.3668362315867095,0.5912070009799208,False,quest_kg_llm,0
icews18_4,"(head=17519, rel=151, ?, ts=6480)",3881,1379,0,0.0,0.6314868009850183,13.814390000334242,False,quest_kg_llm,0
icews18_5,"(head=4935, rel=0, ?, ts=6480)",7803,1029,0,0.0,0.41463035285181865,0.47906499821692705,False,quest_kg_llm,0
icews18_6,"(head=2820, rel=4, ?, ts=6480)",458,1100,0,0.0,0.7182503285545574,0.44516599882626906,False,quest_kg_llm,0
icews18_7,"(head=64, rel=1, ?, ts=6480)",458,240,0,0.0,0.6136026500496148,6.272768001508666,False,quest_kg_llm,2
icews18_8,"(head=42, rel=20, ?, ts=6480)",4145,1202,0,0.0,0.6452682829298932,7.408392000797903,False,quest_kg_llm,0
icews18_9,"(head=42, rel=20, ?, ts=6480)",19,1202,0,0.0,0.6452682829298932,7.0312770003511105,False,quest_kg_llm,4
icews18_10,"(head=42, rel=20, ?, ts=6480)",1449,1202,0,0.0,0.6452682829298932,6.57139600298251,False,quest_kg_llm,0
icews18_11,"(head=445, rel=34, ?, ts=6480)",477,407,0,0.0,0.7340265494695232,7.655398996575968,False,quest_kg_llm,0
icews18_12,"(head=1323, rel=0, ?, ts=6480)",344,526,0,0.0,0.9198637535332702,0.9756789986568037,False,quest_kg_llm,0
icews18_13,"(head=100, rel=28, ?, ts=6480)",390,477,0,0.0,0.5157929406462528,4.9700939998729154,False,quest_kg_llm,0
icews18_14,"(head=455, rel=0, ?, ts=6480)",765,477,0,0.0,0.6398399729703518,5.91033199816593,False,quest_kg_llm,0
icews18_15,"(head=44, rel=20, ?, ts=6480)",4145,392,0,0.0,0.6860987535219182,5.611598000541562,False,quest_kg_llm,0
icews18_16,"(head=44, rel=20, ?, ts=6480)",19,392,0,0.0,0.6860987535219182,5.695383999409387,False,quest_kg_llm,0
icews18_17,"(head=44, rel=20, ?, ts=6480)",1449,392,0,0.0,0.6860987535219182,5.553729999519419,False,quest_kg_llm,0
icews18_18,"(head=9731, rel=0, ?, ts=6480)",445,751,0,0.0,0.717878342930792,10.972149997542147,False,quest_kg_llm,0
icews18_19,"(head=298, rel=6, ?, ts=6480)",397,3908,0,0.0,0.6317672554141038,5.468131999805337,False,quest_kg_llm,15
icews18_20,"(head=19, rel=20, ?, ts=6480)",161,2560,0,0.0,0.6791708143768243,5.8794539982045535,False,quest_kg_llm,0
icews18_21,"(head=19, rel=2, ?, ts=6480)",42,122,0,0.0,0.8066825794715113,5.5726930004311725,False,quest_kg_llm,8
icews18_22,"(head=42, rel=20, ?, ts=6480)",41,1202,0,0.0,0.6452682829298932,6.502813997940393,False,quest_kg_llm,7
icews18_23,"(head=19, rel=34, ?, ts=6480)",122,2560,0,0.0,0.6922691106040788,6.5609859993855935,False,quest_kg_llm,5
icews18_24,"(head=19, rel=5, ?, ts=6480)",42,473,0,0.0,0.7764978365325701,5.35338400004548,False,quest_kg_llm,7
icews18_25,"(head=19, rel=43, ?, ts=6480)",20,473,0,0.0,0.6785480770999787,5.187675997149199,False,quest_kg_llm,7
icews18_26,"(head=2274, rel=1, ?, ts=6480)",44,955,0,0.0,0.6039305774721446,3.5226810032327194,False,quest_kg_llm,0
icews18_27,"(head=21995, rel=31, ?, ts=6480)",9096,4104,0,0.0,0.8318321754643885,10.458298998855753,False,quest_kg_llm,0
icews18_28,"(head=9096, rel=32, ?, ts=6480)",21995,751,0,0.0,0.7097524949488625,12.414336000801995,False,quest_kg_llm,0
icews18_29,"(head=8044, rel=0, ?, ts=6480)",1125,4104,0,0.0,0.823098856611807,11.624148999544559,False,quest_kg_llm,0
icews18_30,"(head=2618, rel=1, ?, ts=6480)",451,2685,0,0.0,0.6698941567179164,2.385854000749532,False,quest_kg_llm,0
icews18_31,"(head=2618, rel=15, ?, ts=6480)",451,2618,0,0.0,0.4961458843971001,2.4355280002055224,False,quest_kg_llm,0
icews18_32,"(head=970, rel=1, ?, ts=6480)",451,970,0,0.0,1.0,1.320514998951694,False,quest_kg_llm,0
icews18_33,"(head=3454, rel=5, ?, ts=6480)",11779,240,0,0.0,0.49447864275373077,0.6850719983049203,False,quest_kg_llm,0
icews18_34,"(head=4115, rel=29, ?, ts=6480)",2211,4116,0,0.0,1.0,0.25196400019922294,False,quest_kg_llm,0
icews18_35,"(head=3454, rel=2, ?, ts=6480)",2211,240,0,0.0,0.4945769520374453,0.6233149979379959,False,quest_kg_llm,2
icews18_36,"(head=50, rel=51, ?, ts=6480)",80,31,0,0.0,0.7372051629392281,7.687199999054428,False,quest_kg_llm,10
icews18_37,"(head=50, rel=52, ?, ts=6480)",80,5,0,0.0,0.704218500519189,7.389432001218665,False,quest_kg_llm,10
icews18_38,"(head=4447, rel=0, ?, ts=6480)",80,4772,0,0.0,0.23847068083313647,0.8377150006708689,False,quest_kg_llm,0
icews18_39,"(head=80, rel=6, ?, ts=6480)",50,840,0,0.0,0.6614851571484969,6.235788998310454,False,quest_kg_llm,9
icews18_40,"(head=312, rel=20, ?, ts=6480)",80,4772,0,0.0,1.0,0.9021879995998461,False,quest_kg_llm,0
icews18_41,"(head=5248, rel=40, ?, ts=6480)",163,9,0,0.0,0.6516915957940481,11.505889997351915,False,quest_kg_llm,0
icews18_42,"(head=19, rel=5, ?, ts=6480)",396,473,0,0.0,0.7764978365325701,5.872344001545571,False,quest_kg_llm,0
