qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0016?",1,1,1,1.0,1.0,25.45979991555214,False,quest_kg_llm,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,0,1,1.0,1.0,20.73220000602305,False,quest_kg_llm,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,1,1,1.0,1.0,17.021700041368604,False,quest_kg_llm,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,0,1,1.0,1.0,15.613700030371547,False,quest_kg_llm,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,1,1,1.0,1.0,15.056700212880969,False,quest_kg_llm,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,0,1,1.0,1.0,14.015500200912356,False,quest_kg_llm,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0125?",1,1,1,1.0,1.0,15.902600018307567,False,quest_kg_llm,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,0,1,1.0,1.0,20.735899917781353,False,quest_kg_llm,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,1,1,1.0,1.0,19.32439999654889,False,quest_kg_llm,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,0,1,1.0,1.0,19.11700004711747,False,quest_kg_llm,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,1,1,1.0,1.0,22.47419999912381,False,quest_kg_llm,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,0,1,1.0,1.0,15.39290021173656,False,quest_kg_llm,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0016?",1,1,1,1.0,1.0,14.193000039085746,False,quest_kg_llm,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,0,1,1.0,1.0,14.610999962314963,False,quest_kg_llm,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0139?",1,1,1,1.0,1.0,14.185399981215596,False,quest_kg_llm,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,0,1,1.0,1.0,15.115800080820918,False,quest_kg_llm,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0066?",1,1,1,1.0,1.0,18.337600165978074,False,quest_kg_llm,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,0,1,1.0,1.0,17.873500008136034,False,quest_kg_llm,0
