qid,gold_e2,pred_e2,em,x_rank,confidence
0,70000,70000,1,1,0.9479333758354187
1,70001,70001,1,1,0.7175381183624268
2,70002,70002,1,1,0.9250543713569641
3,70003,70003,1,1,0.9311710596084595
4,70004,70004,1,1,0.9379062652587891
5,70005,70005,1,1,0.7354549765586853
6,70006,70006,1,1,0.9544838070869446
7,70007,70007,1,1,0.681874692440033
8,70008,70008,1,1,0.980094313621521
9,70009,70009,1,1,0.7099255323410034
10,70010,70010,1,1,0.7219796180725098
11,70011,70011,1,1,0.7050105929374695
12,70012,70012,1,1,0.9630488157272339
13,70013,70013,1,1,0.8635345101356506
14,70014,70014,1,1,0.9507888555526733
15,70015,70015,1,1,0.940355658531189
16,70016,70016,1,1,0.9250155091285706
17,70017,70017,1,1,0.9181864261627197
18,70018,70018,1,1,0.917059063911438
19,70019,90596,0,8,0.8382591009140015
20,70020,124353,0,8,0.8891701102256775
21,70021,70021,1,1,0.9354130029678345
22,70022,70022,1,1,0.7710954546928406
23,70023,70023,1,1,0.9542816877365112
24,70024,70024,1,1,0.9815387725830078
25,70025,70025,1,1,0.9642121195793152
26,70026,172269,0,2,0.808671772480011
27,70027,70027,1,1,0.9497369527816772
28,70028,70028,1,1,0.7864373922348022
29,70029,70029,1,1,0.9776324033737183
30,70030,70030,1,1,0.7338265180587769
31,70031,70031,1,1,0.9478939175605774
32,70032,70032,1,1,0.9363822937011719
33,70033,191421,0,9,0.8845186829566956
34,70034,70034,1,1,0.9519562721252441
35,70035,70035,1,1,0.9547098278999329
36,70036,70036,1,1,0.8768970370292664
37,70037,70037,1,1,0.7400890588760376
38,70038,70038,1,1,0.7513948678970337
39,70039,70039,1,1,0.9346665143966675
40,70040,70040,1,1,0.883044421672821
41,70041,70041,1,1,0.9302036762237549
42,70042,70042,1,1,0.9258450269699097
43,70043,70043,1,1,0.9107620120048523
44,70044,89440,0,2,0.7427180409431458
45,70045,70045,1,1,0.9238413572311401
46,70046,70046,1,1,0.7594786882400513
47,70047,70047,1,1,0.9484233856201172
48,70048,101529,0,19,0.9143853187561035
49,70049,70049,1,1,0.7681021094322205
50,70050,70050,1,1,0.7715567946434021
51,70051,70051,1,1,0.9617241024971008
52,70052,70052,1,1,0.9284235239028931
53,70053,70053,1,1,0.8525050282478333
54,70054,70054,1,1,0.9485937356948853
55,70055,70055,1,1,0.9751600027084351
56,70056,70056,1,1,0.8921868205070496
57,70057,70057,1,1,0.9546184539794922
58,70058,70058,1,1,0.9041098952293396
59,70059,70059,1,1,0.9144594073295593
60,70060,187318,0,372,0.8002227544784546
61,70061,70061,1,1,0.9417698383331299
62,70062,70062,1,1,0.7580680251121521
63,70063,70063,1,1,0.9441472887992859
64,70064,70064,1,1,0.980669379234314
65,70065,70065,1,1,0.9503016471862793
66,70066,70066,1,1,0.7526201009750366
67,70067,76006,0,17,0.7965709567070007
68,70068,70068,1,1,0.9023236632347107
69,70069,70069,1,1,0.9400124549865723
70,70070,70070,1,1,0.746799886226654
71,70071,124353,0,2,0.7938823699951172
72,70072,70072,1,1,0.9353448152542114
73,70073,99202,0,5,0.8365074992179871
74,70074,70074,1,1,0.7660769820213318
75,70075,70075,1,1,0.9413800835609436
76,70076,70076,1,1,0.7161098718643188
77,70077,70077,1,1,0.9606104493141174
78,70078,70078,1,1,0.74685138463974
79,70079,70079,1,1,0.7549391984939575
80,70080,70080,1,1,0.931878924369812
81,70081,70081,1,1,0.7560176849365234
82,70082,70082,1,1,0.9583075642585754
83,70083,70083,1,1,0.9699927568435669
84,70084,70084,1,1,0.8746121525764465
85,70085,70085,1,1,0.9536012411117554
86,70086,70086,1,1,0.9267117381095886
87,70087,70087,1,1,0.9344984292984009
88,70088,180291,0,2,0.8524843454360962
89,70089,70089,1,1,0.9570599794387817
90,70090,70090,1,1,0.8567627668380737
91,70091,70091,1,1,0.9532734155654907
92,70092,185246,0,3,0.7826082110404968
93,70093,100201,0,112,0.9001756906509399
94,70094,70094,1,1,0.9080010652542114
95,70095,70095,1,1,0.9464866518974304
96,70096,70096,1,1,0.9464949369430542
97,70097,70097,1,1,0.9453549385070801
98,70098,70098,1,1,0.9015816450119019
99,70099,70099,1,1,0.7500879764556885
100,70100,70100,1,1,0.9280527234077454
101,70101,70101,1,1,0.8531935811042786
102,70102,186619,0,3,0.8365700840950012
103,70103,70103,1,1,0.8474803566932678
104,70104,70104,1,1,0.9492794275283813
105,70105,70105,1,1,0.8419104218482971
106,70106,70106,1,1,0.9660798907279968
107,70107,70107,1,1,0.9309679269790649
108,70108,70108,1,1,0.9274125099182129
109,70109,70109,1,1,0.9573676586151123
110,70110,70110,1,1,0.9170506000518799
111,70111,70111,1,1,0.9380151033401489
112,70112,70112,1,1,0.8716025948524475
113,70113,70113,1,1,0.9140386581420898
114,70114,70114,1,1,0.8320744633674622
115,70115,70115,1,1,0.9127398729324341
116,70116,70116,1,1,0.9344991445541382
117,70117,131588,0,2,0.784675657749176
118,70118,70118,1,1,0.9386192560195923
119,70119,70119,1,1,0.9614507555961609
120,70120,102819,0,4699,0.8637029528617859
121,70121,70121,1,1,0.7439576387405396
122,70122,70122,1,1,0.742715060710907
123,70123,81196,0,4,0.8724905252456665
124,70124,70124,1,1,0.9483262896537781
125,70125,70125,1,1,0.9182230830192566
126,70126,70126,1,1,0.9251422882080078
127,70127,70127,1,1,0.9049609899520874
128,70128,70128,1,1,0.7330147624015808
129,70129,109550,0,2,0.675445556640625
130,70130,70130,1,1,0.897695779800415
131,70131,70131,1,1,0.978171169757843
132,70132,70132,1,1,0.7572599649429321
133,70133,70133,1,1,0.7572575211524963
134,70134,70134,1,1,0.9354807138442993
135,70135,70135,1,1,0.923818051815033
136,70136,70136,1,1,0.9467793703079224
137,70137,70137,1,1,0.9077823758125305
138,70138,70138,1,1,0.9593477249145508
139,70139,70139,1,1,0.9154633283615112
140,70140,70140,1,1,0.9182437062263489
141,70141,70141,1,1,0.6799611449241638
142,70142,70142,1,1,0.7685438990592957
143,70143,70143,1,1,0.8801981210708618
144,70144,70144,1,1,0.9029722213745117
145,70145,70145,1,1,0.7563201785087585
146,70146,70146,1,1,0.9148051142692566
147,70147,70147,1,1,0.9503945112228394
148,70148,70148,1,1,0.9347054362297058
149,70149,70149,1,1,0.935078501701355
150,70150,70150,1,1,0.9515713453292847
151,70151,70151,1,1,0.7294980883598328
152,70152,70152,1,1,0.7641358375549316
153,70153,70153,1,1,0.9184041023254395
154,70154,70154,1,1,0.9507567286491394
155,70155,70155,1,1,0.8856996297836304
156,70156,70156,1,1,0.7545990347862244
157,70157,70157,1,1,0.7615574598312378
158,70158,70158,1,1,0.9342682957649231
159,70159,70159,1,1,0.7730379104614258
160,70160,70160,1,1,0.7515379786491394
161,70161,189602,0,4,0.7781747579574585
162,70162,70162,1,1,0.9251348376274109
163,70163,70163,1,1,0.7517300844192505
164,70164,70164,1,1,0.901640772819519
165,70165,70165,1,1,0.9282363057136536
166,70166,70166,1,1,0.9406470060348511
167,70167,70167,1,1,0.9204378724098206
168,70168,190088,0,51,0.8847928047180176
169,70169,70169,1,1,0.9540600776672363
170,70170,70170,1,1,0.9232344031333923
171,70171,70171,1,1,0.9514943361282349
172,70172,70172,1,1,0.9027937054634094
173,70173,70173,1,1,0.7330321669578552
174,70174,70174,1,1,0.7582281231880188
175,70175,70175,1,1,0.9180731773376465
176,70176,70176,1,1,0.8905197978019714
177,70177,70177,1,1,0.9574069976806641
178,70178,70178,1,1,0.775000274181366
179,70179,70179,1,1,0.9349279999732971
180,70180,70180,1,1,0.7567334175109863
181,70181,173717,0,5,0.8798730969429016
182,70182,70182,1,1,0.9412958025932312
183,70183,70183,1,1,0.9303076863288879
184,70184,70184,1,1,0.7527217268943787
185,70185,70185,1,1,0.743670642375946
186,70186,99835,0,2,0.750555157661438
187,70187,70187,1,1,0.9267407059669495
188,70188,70188,1,1,0.9258148074150085
189,70189,70189,1,1,0.6988892555236816
190,70190,70190,1,1,0.9682146906852722
191,70191,70191,1,1,0.9695630669593811
192,70192,70192,1,1,0.945648193359375
193,70193,70193,1,1,0.7312417030334473
194,70194,70194,1,1,0.9083196520805359
195,70195,70195,1,1,0.7310035824775696
196,70196,70196,1,1,0.957491397857666
197,70197,70197,1,1,0.9434801340103149
198,70198,70198,1,1,0.9711545705795288
199,70199,70199,1,1,0.9251669645309448
200,70200,70200,1,1,0.9296045303344727
201,70201,70201,1,1,0.8856105208396912
202,70202,70202,1,1,0.9609378576278687
203,70203,70203,1,1,0.9521716237068176
204,70204,70204,1,1,0.942968487739563
205,70205,70205,1,1,0.9478901624679565
206,70206,70206,1,1,0.9604048728942871
207,70207,70661,0,31,0.8326457142829895
208,70208,70208,1,1,0.9432317018508911
209,70209,70209,1,1,0.948813796043396
210,70210,70210,1,1,0.9433680772781372
211,70211,70211,1,1,0.9151393175125122
212,70212,70212,1,1,0.9137301445007324
213,70213,70213,1,1,0.9395149350166321
214,70214,70214,1,1,0.763978898525238
215,70215,70215,1,1,0.8872276544570923
216,70216,70216,1,1,0.9424934387207031
217,70217,70217,1,1,0.7483358383178711
218,70218,70218,1,1,0.7136716842651367
219,70219,70219,1,1,0.9132182002067566
220,70220,70220,1,1,0.746030330657959
221,70221,70221,1,1,0.9239476919174194
222,70222,70222,1,1,0.9525984525680542
223,70223,70223,1,1,0.9437743425369263
224,70224,70224,1,1,0.759784996509552
225,70225,70225,1,1,0.8629046082496643
226,70226,128903,0,13,0.9199981689453125
227,70227,70227,1,1,0.7235057950019836
228,70228,112739,0,22,0.826766848564148
229,70229,70229,1,1,0.9732258319854736
230,70230,70230,1,1,0.9112533330917358
231,70231,70231,1,1,0.9578288793563843
232,70232,70232,1,1,0.8953350782394409
233,70233,70233,1,1,0.9620285034179688
234,70234,70234,1,1,0.940623939037323
235,70235,70235,1,1,0.9246759414672852
236,70236,70236,1,1,0.9581835269927979
237,70237,70237,1,1,0.9373220205307007
238,70238,70238,1,1,0.9291165471076965
239,70239,70239,1,1,0.8460694551467896
240,70240,70240,1,1,0.7791882753372192
241,70241,70241,1,1,0.9488962292671204
242,70242,70242,1,1,0.9673510789871216
243,70243,70243,1,1,0.9615780711174011
244,70244,70244,1,1,0.9322991967201233
245,70245,70245,1,1,0.9359429478645325
246,70246,70246,1,1,0.9645923376083374
247,70247,70247,1,1,0.9536319375038147
248,70248,70248,1,1,0.9525556564331055
249,70249,70249,1,1,0.9757260084152222
250,70250,70250,1,1,0.9566783905029297
251,70251,70251,1,1,0.9565817713737488
252,70252,70252,1,1,0.9149974584579468
253,70253,130727,0,3,0.7727419137954712
254,70254,70254,1,1,0.9648727774620056
255,70255,70255,1,1,0.9656410217285156
256,70256,70256,1,1,0.9160476922988892
257,70257,70257,1,1,0.9360448122024536
258,70258,70258,1,1,0.9427044987678528
259,70259,176388,0,1101,0.8935204744338989
260,70260,70260,1,1,0.7522199153900146
261,70261,70261,1,1,0.747266411781311
262,70262,70262,1,1,0.7466039061546326
263,70263,70263,1,1,0.9560872316360474
264,70264,70264,1,1,0.9524598121643066
265,70265,90742,0,12,0.8931017518043518
266,70266,70266,1,1,0.9546636939048767
267,70267,70267,1,1,0.9632765650749207
268,70268,70268,1,1,0.9294996857643127
269,70269,70269,1,1,0.9648871421813965
270,70270,70270,1,1,0.6874275207519531
271,70271,70271,1,1,0.9471763968467712
272,70272,70272,1,1,0.7414399981498718
273,70273,70273,1,1,0.7696418166160583
274,70274,70274,1,1,0.9337180852890015
275,70275,70275,1,1,0.8981865048408508
276,70276,70276,1,1,0.8676555752754211
277,70277,70277,1,1,0.7417832612991333
278,70278,70278,1,1,0.7236116528511047
279,70279,70279,1,1,0.9144600629806519
280,70280,70280,1,1,0.9118717312812805
281,70281,70281,1,1,0.9488433599472046
282,70282,70282,1,1,0.8884227275848389
283,70283,70283,1,1,0.9399400949478149
284,70284,70284,1,1,0.8372995853424072
285,70285,70285,1,1,0.9829059839248657
286,70286,70286,1,1,0.9198047518730164
287,70287,70287,1,1,0.9725481271743774
288,70288,70288,1,1,0.8954079151153564
289,70289,70289,1,1,0.750890851020813
290,70290,70290,1,1,0.9430378079414368
291,70291,70291,1,1,0.7603673338890076
292,70292,70292,1,1,0.9129066467285156
293,70293,70293,1,1,0.8702093958854675
294,70294,70294,1,1,0.9464937448501587
295,70295,70295,1,1,0.9328190088272095
296,70296,70296,1,1,0.7270559668540955
297,70297,70297,1,1,0.8730424642562866
298,70298,70298,1,1,0.9043533205986023
299,70299,70299,1,1,0.9713600873947144
300,70300,70300,1,1,0.9315778017044067
301,70301,70301,1,1,0.9362327456474304
302,70302,70302,1,1,0.9505297541618347
303,70303,70303,1,1,0.8995102643966675
304,70304,70304,1,1,0.8735203742980957
305,70305,70305,1,1,0.8467360138893127
306,70306,70306,1,1,0.963645339012146
307,70307,70307,1,1,0.7468093037605286
308,70308,70308,1,1,0.7544397115707397
309,70309,107457,0,8,0.8475711941719055
310,70310,70310,1,1,0.9315861463546753
311,70311,91149,0,15,0.840569794178009
312,70312,70312,1,1,0.936933159828186
313,70313,70313,1,1,0.9136516451835632
314,70314,70314,1,1,0.888644814491272
315,70315,70315,1,1,0.9540448188781738
316,70316,70316,1,1,0.9159311652183533
317,70317,70317,1,1,0.945022702217102
318,70318,70318,1,1,0.9225403666496277
319,70319,70319,1,1,0.9673988223075867
320,70320,70320,1,1,0.9371596574783325
321,70321,70321,1,1,0.9563165903091431
322,70322,70322,1,1,0.9470211267471313
323,70323,70323,1,1,0.887769341468811
324,70324,70324,1,1,0.951180636882782
325,70325,101408,0,2,0.7954138517379761
326,70326,70326,1,1,0.9289007782936096
327,70327,70327,1,1,0.739215075969696
328,70328,70328,1,1,0.7583413124084473
329,70329,104076,0,3,0.8346415758132935
